Floor Size(SQFT),Number of Rooms,Number of Bathroom,Cluster Label,Amount(BDT)
900,2,2,2,19000
900,2,2,2,19000
1610,3,4,2,50000
950,2,2,2,20000
1250,3,3,4,20000
1680,4,3,2,30000
1600,3,4,2,40000
1600,3,3,4,24000
1700,3,3,2,30000
800,2,2,6,11000
1119,3,3,6,18000
2600,3,3,1,70000
1350,3,3,4,20000
1500,3,4,2,50000
1650,3,2,2,35000
2400,4,5,2,60000
2250,3,3,1,55000
2100,3,3,8,60000
1800,3,4,3,55000
1900,3,4,2,37000
1100,3,2,5,18000
2500,3,3,8,115000
2960,4,4,3,70000
1250,3,2,5,25000
900,2,2,2,19000
900,2,2,2,19000
1610,3,4,2,50000
950,2,2,2,20000
1250,3,3,4,20000
1680,4,3,2,30000
1600,3,4,2,40000
1600,3,3,4,24000
1700,3,3,2,30000
800,2,2,6,11000
1119,3,3,6,18000
2600,3,3,1,70000
1350,3,3,4,20000
1500,3,4,2,50000
1650,3,2,2,35000
2400,4,5,2,60000
2250,3,3,1,55000
2100,3,3,8,60000
1800,3,4,3,55000
1900,3,4,2,37000
1100,3,2,5,18000
2500,3,3,8,115000
2960,4,4,3,70000
1250,3,2,5,25000
1050,3,3,4,16000
6400,6,8,1,300000
1150,3,3,6,18000
1500,3,3,2,24000
1300,3,3,4,60000
1300,3,3,4,40000
2000,3,3,2,36000
800,2,2,6,14500
1300,3,3,4,40000
1500,3,3,4,35000
800,2,2,4,20000
1200,3,3,4,20000
1800,3,4,3,55000
2200,3,4,8,101000
1035,3,2,6,15000
4000,4,4,1,200000
2250,4,4,4,50000
2400,4,4,4,40000
2400,4,4,4,40000
1700,3,4,3,50000
1200,3,3,5,17000
1300,3,2,0,22000
1550,3,4,2,22000
1700,3,4,3,50000
2420,3,4,4,45000
1800,3,4,3,55000
2450,3,4,8,145000
1450,3,4,7,40000
3100,4,4,4,60000
800,2,2,6,12000
800,2,2,6,12000
3159,4,4,1,103000
1500,3,3,6,26000
1250,3,3,2,23000
750,2,2,8,14500
2300,3,3,8,75000
1400,3,2,2,30000
1300,3,3,6,20000
1570,3,3,3,32000
800,2,2,9,13500
1650,3,3,3,60000
1150,3,3,5,25000
1800,3,3,2,30000
1000,2,2,4,50000
2450,4,4,4,30000
750,2,1,2,19000
1750,3,4,4,30000
600,1,1,7,15000
1300,3,3,4,35000
1000,3,2,7,25000
1500,3,3,2,25000
2000,3,4,2,50000
2310,3,3,2,30000
3000,4,4,8,106000
2800,4,5,2,70000
3500,3,3,3,105000
1050,3,2,6,18000
1140,3,2,0,17000
1250,3,2,5,25000
2300,3,3,2,45000
1200,3,3,3,20000
2300,3,3,8,75000
2300,3,3,8,75000
2300,3,3,8,75000
2100,3,4,3,60000
2100,3,4,3,60000
2100,3,4,3,60000
2600,3,4,8,75000
1950,3,3,2,50000
2200,3,4,1,80000
1300,3,3,4,40000
1300,3,3,4,60000
1300,3,3,4,60000
1300,3,3,4,40000
1300,3,3,4,35000
1710,3,3,2,35000
2400,3,3,1,100000
1550,3,4,4,34000
800,2,2,6,13000
900,2,2,8,16000
1600,3,3,2,25000
1300,3,2,7,22000
1200,3,3,1,20000
2200,3,4,1,73000
2200,3,3,8,75000
2300,3,3,2,60000
900,2,2,2,19000
2142,4,4,2,60000
1500,3,3,2,35000
1000,3,2,2,22000
1250,3,3,4,19000
1300,3,3,4,60000
2280,4,3,3,70000
1500,3,3,7,30000
1300,3,3,4,60000
1350,3,3,4,30000
1200,3,3,2,40000
1500,3,3,6,18000
1050,3,3,5,20000
1450,3,3,8,90000
2200,3,4,0,40000
2410,4,4,0,40000
1200,3,2,7,35000
1300,3,3,6,19000
3536,4,5,4,80000
1800,3,3,2,35000
1400,3,2,4,22000
1300,3,3,2,40000
1100,3,3,6,20000
1700,3,3,2,40000
750,2,2,4,17000
1250,3,3,9,21000
900,2,2,2,20000
750,2,2,9,13500
450,1,1,2,15000
1565,3,3,5,20000
2650,4,4,8,108000
550,2,1,6,13000
1250,3,3,0,22000
900,3,2,6,16000
2300,3,4,4,40000
1550,3,3,6,30000
1600,3,3,1,30000
1350,3,3,0,26000
1250,3,3,0,20000
3600,4,4,3,95000
1500,3,3,2,55000
1600,4,3,5,30000
1563,3,4,3,25000
1600,3,3,3,28000
1750,3,3,4,35000
1000,3,2,2,20000
1800,3,4,2,45000
900,2,2,6,15000
1480,3,4,2,70000
1800,3,3,2,30000
950,2,3,9,14000
2700,3,3,3,60000
1050,3,2,9,13500
1600,4,4,2,30000
3000,4,4,1,101000
1975,3,4,2,60000
1650,3,2,3,40000
800,2,2,6,14000
650,2,2,0,13000
800,2,2,0,12000
1150,3,2,6,19000
700,2,1,5,8500
1800,3,4,2,45000
2300,4,3,2,60000
1050,3,2,6,18000
1200,3,3,6,24000
2200,3,4,8,104000
850,3,2,0,14000
1300,3,3,6,25000
1650,3,3,2,28000
1000,2,2,6,18000
650,2,2,2,9500
1800,3,4,7,35000
1280,3,3,7,25000
1400,3,3,2,30000
2300,3,3,8,103000
2400,3,3,8,102000
1400,3,3,3,30000
1300,3,3,4,60000
800,2,2,6,13000
3000,6,5,5,70000
950,2,3,9,14000
2700,3,3,1,80000
15000,20,0,8,1200000
1700,4,3,0,20000
2100,3,3,4,40000
3680,3,4,1,107000
2000,3,3,1,70000
850,2,2,6,14000
2400,3,3,1,55000
1450,3,3,1,60000
1300,3,3,4,40000
1360,3,3,7,32000
1115,3,3,5,25000
1400,3,3,0,25000
1400,3,3,4,28000
1000,3,2,0,18000
2000,3,3,1,100000
600,2,1,6,11000
1240,3,3,7,25000
700,2,2,3,16000
1512,4,4,0,32000
1990,3,3,7,45000
2750,4,4,1,102000
2350,3,4,1,75000
1300,3,3,0,20000
1100,3,3,9,20000
745,3,2,0,15000
1470,3,3,7,40000
550,2,1,6,10000
1880,3,3,2,35000
3000,3,4,8,204000
1200,3,3,6,16000
1000,3,2,6,12000
1900,4,4,3,35000
3600,4,5,4,40000
1800,3,4,1,80000
1200,3,3,9,18000
1057,3,2,0,18000
1200,2,3,3,26000
1000,3,2,6,17000
1850,3,3,2,45000
1450,3,3,2,25000
1350,3,3,4,30000
2800,3,3,8,105000
650,2,2,0,13000
