Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.874777,90.388188,900,2,2,19000
1,23.874777,90.388188,900,2,2,19000
1,23.871732,90.397145,"1,610",3,4,50000
1,23.874777,90.388188,950,2,2,20000
1,23.822702,90.442058,"1,250",3,3,20000
1,23.874777,90.388188,"1,680",4,3,30000
1,23.865458,90.390566,"1,600",3,4,40000
1,23.826752,90.438958,"1,600",3,3,24000
1,23.874777,90.388188,"1,700",3,3,30000
1,23.79512,90.367211,800,2,2,11000
1,23.79512,90.367211,"1,119",3,3,18000
1,23.782145,90.415916,"2,600",3,3,70000
1,23.822886,90.444809,"1,350",3,3,20000
1,23.866179409909,90.398411367983,"1,500",3,4,50000
1,23.866179409909,90.398411367983,"1,650",3,2,35000
1,23.871732,90.397145,"2,400",4,5,60000
1,23.782145,90.415916,"2,250",3,3,55000
1,23.803256,90.419844,"2,100",3,3,60000
1,23.750191,90.365664,"1,800",3,4,55000
1,23.876277,90.387987,"1,900",3,4,37000
1,23.702694,90.426849,"1,100",3,2,18000
1,23.795805,90.414203,"2,500",3,3,115000
1,23.749611,90.369933,"2,960",4,4,70000
1,23.757988,90.442878,"1,250",3,2,25000
1,23.874777,90.388188,900,2,2,19000
1,23.874777,90.388188,900,2,2,19000
1,23.871732,90.397145,"1,610",3,4,50000
1,23.874777,90.388188,950,2,2,20000
1,23.822702,90.442058,"1,250",3,3,20000
1,23.874777,90.388188,"1,680",4,3,30000
1,23.865458,90.390566,"1,600",3,4,40000
1,23.826752,90.438958,"1,600",3,3,24000
1,23.874777,90.388188,"1,700",3,3,30000
1,23.79512,90.367211,800,2,2,11000
1,23.79512,90.367211,"1,119",3,3,18000
1,23.782145,90.415916,"2,600",3,3,70000
1,23.822886,90.444809,"1,350",3,3,20000
1,23.866179409909,90.398411367983,"1,500",3,4,50000
1,23.866179409909,90.398411367983,"1,650",3,2,35000
1,23.871732,90.397145,"2,400",4,5,60000
1,23.782145,90.415916,"2,250",3,3,55000
1,23.803256,90.419844,"2,100",3,3,60000
1,23.750191,90.365664,"1,800",3,4,55000
1,23.876277,90.387987,"1,900",3,4,37000
1,23.702694,90.426849,"1,100",3,2,18000
1,23.795805,90.414203,"2,500",3,3,115000
1,23.749611,90.369933,"2,960",4,4,70000
1,23.757988,90.442878,"1,250",3,2,25000
1,23.822886,90.444809,"1,050",3,3,16000
1,23.782145,90.415916,"6,400",6,8,300000
1,23.793711,90.375112,"1,150",3,3,18000
1,23.872612,90.387723,"1,500",3,3,24000
1,23.815914,90.432902,"1,300",3,3,60000
1,23.815914,90.432902,"1,300",3,3,40000
1,23.871732,90.397145,"2,000",3,3,36000
1,23.798048,90.367562,800,2,2,14500
1,23.815914,90.432902,"1,300",3,3,40000
1,23.824614,90.432913,"1,500",3,3,35000
1,23.822702,90.442058,800,2,2,20000
1,23.822702,90.442058,"1,200",3,3,20000
1,23.750191,90.365664,"1,800",3,4,55000
1,23.795028,90.408333,"2,200",3,4,101000
1,23.794089,90.357513,"1,035",3,2,15000
1,23.782145,90.415916,"4,000",4,4,200000
1,23.815914,90.432902,"2,250",4,4,50000
1,23.822702,90.442058,"2,400",4,4,40000
1,23.822702,90.442058,"2,400",4,4,40000
1,23.750191,90.365664,"1,700",3,4,50000
1,23.702694,90.426849,"1,200",3,3,17000
1,23.824158,90.371518,"1,300",3,2,22000
1,23.883581,90.389312,"1,550",3,4,22000
1,23.750191,90.365664,"1,700",3,4,50000
1,23.8133326,90.4397688,"2,420",3,4,45000
1,23.750191,90.365664,"1,800",3,4,55000
1,23.796666,90.404198,"2,450",3,4,145000
1,23.734987,90.384369,"1,450",3,4,40000
1,23.818218,90.427297,"3,100",4,4,60000
1,23.7897,90.372253,800,2,2,12000
1,23.7897,90.372253,800,2,2,12000
1,23.782145,90.415916,"3,159",4,4,103000
1,23.806348,90.358725,"1,500",3,3,26000
1,23.865458,90.390566,"1,250",3,3,23000
1,23.808981,90.415639,750,2,2,14500
1,23.803256,90.419844,"2,300",3,3,75000
1,23.865458,90.390566,"1,400",3,2,30000
1,23.801172,90.347604,"1,300",3,3,20000
1,23.753307,90.367825,"1,570",3,3,32000
1,23.757692,90.355813,800,2,2,13500
1,23.755751,90.366149,"1,650",3,3,60000
1,23.745266,90.418059,"1,150",3,3,25000
1,23.872612,90.387723,"1,800",3,3,30000
1,23.815914,90.432902,"1,000",2,2,50000
1,23.822886,90.444809,"2,450",4,4,30000
1,23.876277,90.387987,750,2,1,19000
1,23.824614,90.432913,"1,750",3,4,30000
1,23.7415812,90.3844492,600,1,1,15000
1,23.815914,90.432902,"1,300",3,3,35000
1,23.746458,90.389812,"1,000",3,2,25000
1,23.874777,90.388188,"1,500",3,3,25000
1,23.871294,90.403087,"2,000",3,4,50000
1,23.883581,90.389312,"2,310",3,3,30000
1,23.803256,90.419844,"3,000",4,4,106000
1,23.871732,90.397145,"2,800",4,5,70000
1,23.753307,90.367825,"3,500",3,3,105000
1,23.795572,90.382205,"1,050",3,2,18000
1,23.811952,90.371989,"1,140",3,2,17000
1,23.757988,90.442878,"1,250",3,2,25000
1,23.871294,90.403087,"2,300",3,3,45000
1,23.754995,90.362028,"1,200",3,3,20000
1,23.803256,90.419844,"2,300",3,3,75000
1,23.803256,90.419844,"2,300",3,3,75000
1,23.803256,90.419844,"2,300",3,3,75000
1,23.750191,90.365664,"2,100",3,4,60000
1,23.750191,90.365664,"2,100",3,4,60000
1,23.750191,90.365664,"2,100",3,4,60000
1,23.796666,90.404198,"2,600",3,4,75000
1,23.866179409909,90.398411367983,"1,950",3,3,50000
1,23.790533,90.409194,"2,200",3,4,80000
1,23.815914,90.432902,"1,300",3,3,40000
1,23.815914,90.432902,"1,300",3,3,60000
1,23.815914,90.432902,"1,300",3,3,60000
1,23.815914,90.432902,"1,300",3,3,40000
1,23.815914,90.432902,"1,300",3,3,35000
1,23.883581,90.389312,"1,710",3,3,35000
1,23.782145,90.415916,"2,400",3,3,100000
1,23.815914,90.432902,"1,550",3,4,34000
1,23.798048,90.367562,800,2,2,13000
1,23.808981,90.415639,900,2,2,16000
1,23.876277,90.387987,"1,600",3,3,25000
1,23.7415812,90.3844492,"1,300",3,2,22000
1,23.776735,90.434997,"1,200",3,3,20000
1,23.782145,90.415916,"2,200",3,4,73000
1,23.803256,90.419844,"2,200",3,3,75000
1,23.871294,90.403087,"2,300",3,3,60000
1,23.876277,90.387987,900,2,2,19000
1,23.871294,90.403087,"2,142",4,4,60000
1,23.870317,90.385814,"1,500",3,3,35000
1,23.874777,90.388188,"1,000",3,2,22000
1,23.822702,90.442058,"1,250",3,3,19000
1,23.815914,90.432902,"1,300",3,3,60000
1,23.748156,90.373361,"2,280",4,3,70000
1,23.7351068,90.3850278,"1,500",3,3,30000
1,23.815914,90.432902,"1,300",3,3,60000
1,23.811241,90.433627,"1,350",3,3,30000
1,23.872612,90.387723,"1,200",3,3,40000
1,23.79512,90.367211,"1,500",3,3,18000
1,23.75751,90.424947,"1,050",3,3,20000
1,23.803256,90.419844,"1,450",3,3,90000
1,23.837387,90.369139,"2,200",3,4,40000
1,23.824158,90.371518,"2,410",4,4,40000
1,23.732074,90.409231,"1,200",3,2,35000
1,23.806348,90.358725,"1,300",3,3,19000
1,23.818218,90.427297,"3,536",4,5,80000
1,23.863289,90.403481,"1,800",3,3,35000
1,23.815914,90.432902,"1,400",3,2,22000
1,23.871294,90.403087,"1,300",3,3,40000
1,23.801189,90.371518,"1,100",3,3,20000
1,23.863289,90.403481,"1,700",3,3,40000
1,23.824614,90.432913,750,2,2,17000
1,23.772133,90.356001,"1,250",3,3,21000
1,23.865458,90.390566,900,2,2,20000
1,23.767656,90.35055,750,2,2,13500
1,23.865458,90.390566,450,1,1,15000
1,23.75751,90.424947,"1,565",3,3,20000
1,23.795805,90.414203,"2,650",4,4,108000
1,23.801189,90.371518,550,2,1,13000
1,23.824158,90.371518,"1,250",3,3,22000
1,23.795834,90.390571,900,3,2,16000
1,23.822702,90.442058,"2,300",3,4,40000
1,23.797916,90.368299,"1,550",3,3,30000
1,23.782146,90.423114,"1,600",3,3,30000
1,23.824158,90.371518,"1,350",3,3,26000
1,23.818789,90.393137,"1,250",3,3,20000
1,23.740166,90.375991,"3,600",4,4,95000
1,23.871732,90.397145,"1,500",3,3,55000
1,23.761337,90.443881,"1,600",4,3,30000
1,23.752511,90.381137,"1,563",3,4,25000
1,23.74182,90.371814,"1,600",3,3,28000
1,23.810879,90.428081,"1,750",3,3,35000
1,23.872612,90.387723,"1,000",3,2,20000
1,23.877235,90.397145,"1,800",3,4,45000
1,23.797748,90.38279,900,2,2,15000
1,23.876277,90.387987,"1,480",3,4,70000
1,23.872612,90.387723,"1,800",3,3,30000
1,23.757692,90.355813,950,2,3,14000
1,23.759029,90.365737,"2,700",3,3,60000
1,23.763938,90.351616,"1,050",3,2,13500
1,23.876277,90.387987,"1,600",4,4,30000
1,23.782145,90.415916,"3,000",4,4,101000
1,23.876277,90.387987,"1,975",3,4,60000
